author.name,date,en_text
Repubblica,2019-12-29,Finance in the hands of robots: around the world they manage 877 billion in savings https://t.co/g0KLkecIop
Repubblica,2019-12-29,Finance in the hands of robots: around the world they manage 877 billion in savings [update at 15:19] https://t.co/qNAiTorD9R
Repubblica,2019-12-29,"Today on Rep: 👇🗞 In France, artificial intelligence will track down tax evaders, starting from photos on social media [from our correspondent ETTORE LIVINI] https://t.co/fT1VgHi8Vz"
Repubblica,2019-12-28,"In France, artificial intelligence will find tax evaders, starting from photos on social media https://t.co/asfsqiuQzN"
Repubblica,2019-12-23,"RT @rep_motori: Virtual Reality Design, the car is built like this https://t.co/srOX7WcMOM"
Repubblica,2019-12-21,"Facebook and Twitter, stop the network of pro-Trump accounts: fake profiles with artificial intelligence [update at 19:47] https://t.co/PVdp2HHXWA"
Repubblica,2019-12-21,"Facebook and Twitter, stop the network of pro-Trump accounts: fake profiles with artificial intelligence [updated at 18:12] https://t.co/24pYhBFyGd"
Repubblica,2019-12-21,"Facebook and Twitter, stop pro-Trump account network: fake profiles with artificial intelligence https://t.co/OQHQD1PCAr"
Repubblica,2019-12-19,Elephant Trunk Inspires New Manipulating Robots [update 12:53 pm] https://t.co/6wAHRdDwKl
Repubblica,2019-12-19,Elephant Trunk Inspires New Manipulating Robots [update 11:44 am] https://t.co/j8KiHpLYVW
Repubblica,2019-12-19,RT @rep_tecno: The elephant's trunk inspires new manipulative robots https://t.co/q4LplrtWkE
Repubblica,2019-12-19,Elephant Trunk Inspires New Manipulating Robots https://t.co/PdnvBlSG1N
Repubblica,2019-12-19,"Today on Rep: 👇🗞 Jim Al-Khalili: ""Artificial intelligence ready to move the world"" [by LUCA FRAIOLI] https://t.co/mRTMMfDVa3"
Repubblica,2019-12-17,"Robot vs fatberg, the fat monsters of our sewers [update 1:39 pm] https://t.co/nglv9HfkW9"
Repubblica,2019-12-17,"Robot vs fatberg, the fat monsters of our sewers [update at 13:07] https://t.co/41l2wWqho8"
Repubblica,2019-12-17,"Robot vs fatberg, the fat monsters of our sewers https://t.co/eS7LylcNAP"
Repubblica,2019-12-16,"""What a clique, fratè"": Marinelli's (real) fist in Santamaria https://t.co/gfVmOBbH20"
Repubblica,2019-12-16,RT @RepubblicaTv: Marinelli's (real) fist in Santamaria: the video from the backstage of 'Lo Chiamavano Jeeg Robot' https://t.co/btEKJiyj3n
Repubblica,2019-12-15,That's why Facebook trains its AI with Hanabi [update at 3:06 pm] https://t.co/leOPyrlkcC
Repubblica,2019-12-15,That's why Facebook trains its artificial intelligence with Hanabi https://t.co/mfCf3Sq9cM
Repubblica,2019-12-11,"Robot? No, humans first https://t.co/i0fO6r6X3v"
Repubblica,2019-12-11,"Today on Rep: 👇🗞 Robot? No, humans first [by RICCARDO LUNA] https://t.co/sS7ZnJE4CF"
Repubblica,2019-12-06,"RT @rep_tecno: Friend, the robot that draws the Mona Lisa [update at 16:53] https://t.co/dJzkRJYZWH"
Repubblica,2019-12-05,"Today on Rep: 👇🗞 The robot artist (Italian) who paints on the walls: ""It's the Spotify of art"" [by RICCARDO LUNA] https://t.co/b6J2YIoyy9"
Repubblica,2019-12-05,"The robot artist (Italian) who paints on the walls: ""It's the Spotify of art"" https://t.co/x0cTGFYUN4"
Repubblica,2019-12-02,"Turin, first intervention in Italy with an ""electrician robot"" that treats arrhythmias https://t.co/IH7ERPeGqo"
Repubblica,2019-12-02,"RT @RepubblicaTv: Bari, the robot prepares coffee but it takes a human smile to serve it https://t.co/TyIsISkv5w"
Repubblica,2019-12-01,"Doraemon turns 50, Japanese cartoon party https://t.co/XtjNdDW9AQ"
Repubblica,2019-12-01,"RT @RepubblicaTv: The robot cat Doraemon turns 50, party for the Japanese cartoon https://t.co/F66PzwZ4v9"
Repubblica,2019-11-28,"Lee Sedol, the Go champion retires forever: ""Artificial intelligence is unbeatable"" https://t.co/9KkfFbxcrC"
Repubblica,2019-11-28,"Lee Sedol, the Go champion retires forever: ""Artificial intelligence is unbeatable"" [update at 12:45 pm] https://t.co/Vju5nRz73o"
Repubblica,2019-11-28,"RT @rep_tecno: Lee Sedol, the Go champion retires forever: ""Artificial intelligence is unbeatable"" [update at 12:42] ht…"
Repubblica,2019-11-27,"RT @RepubblicaTv: Huddle 2019, 'Humane vs Robot' explained by the ugly Milanese: ""Technology helps us but we remain monkeys ..."" https: // ..."
Repubblica,2019-11-26,"Usa, the robot dogs already used by the police. And it is immediately controversy https://t.co/7SHtKGCHLz"
Repubblica,2019-11-26,"RT @eziomauro: Usa, the robot dogs already used by the police. And it is immediately controversial https://t.co/CKwyfxCLPc by @repubblica"
Repubblica,2019-11-26,"RT @rep_tecno: Usa, the robot dogs already used by the police. And it's immediately controversial [update 11:48] https://t.co/Zv4lEKX9LY"
Repubblica,2019-11-26,"Usa, the robot dogs already used by the police. And it's immediately controversial [update 11:48] https://t.co/IS9TlnR4Q2"
Repubblica,2019-11-22,The Auditel of emotions: an artificial intelligence will measure the feelings of viewers in front of the TV [update at 17:43] https://t.co/jdoViH5MCi
Repubblica,2019-11-22,The Auditel of emotions: an artificial intelligence will measure the feelings of viewers in front of the TV https://t.co/jN2f4y4Exw
Repubblica,2019-11-22,Nazca Lines: 143 new giant drawings discovered in the desert https://t.co/EDvlXV0tef
Repubblica,2019-11-22,"RT @RepubblicaTv: Peru, 143 new giant drawings discovered in the Nazca desert: thanks to artificial intelligence https://t.co/FiF8BvR5…"
Repubblica,2019-11-19,"Euthanasia, bio-test, abortion: to know your civil rights ask the Citbox platform https://t.co/8ZEl2lQbKI"
Repubblica,2019-11-19,"RT @RepubblicaTv: Abortion, euthanasia, bio-test: here is Citbot, the artificial intelligence that responds to civil rights https://t.co/uo…"
Repubblica,2019-11-19,Slow justice? There is the magistrate-robot [update at 14:01] https://t.co/TSskh9iTzS
Repubblica,2019-11-19,Slow justice? There is the magistrate-robot [update at 12:24] https://t.co/RqG9OKIKLm
Repubblica,2019-11-19,Slow justice? There is the magistrate-robot https://t.co/j9tycCDzPL
Repubblica,2019-11-15,Someone stop the killer robots. They shoot and feel nothing [update at 13:08] https://t.co/m2QiQz1ksx
Repubblica,2019-11-15,Someone stop the killer robots. They shoot and don't prove anything https://t.co/aGZl1tIJG7
Repubblica,2019-11-15,"RT @RepubblicaTv: Parma, how the surgical robot works at its debut at the Maggiore hospital https://t.co/Q4yKrCYIIJ"
Repubblica,2019-11-14,"Nao, energy genius robot at home. Thus the smart home will save us https://t.co/eHxeNooJgT"
Repubblica,2019-11-12,"Google, the data of millions of patients to train its artificial intelligence [update at 17:12] https://t.co/SNgsNhQjXW"
Repubblica,2019-11-12,"Google, spied on millions of patients to train its artificial intelligence https://t.co/TIIiqTkzpD"
Repubblica,2019-11-12,"Google, spied on millions of patients to train its artificial intelligence [update 1:22 pm] https://t.co/uJOyhCl9rY"
Repubblica,2019-11-10,"Nao, energy genius robot at home. Thus the smart home will save us https://t.co/JDpakOeZ76"
